read_flag,post_process,2025,2025_alt,2024_v2,2024,2022_v3,2024_gs,2022_v3_gs,2024_alt,tsitika
,sub_device,,,Submitting Device,Submitting Device,Submitting Device,deviceid,deviceid,,
,device_user,,,Device User,Device User,Device User,username,username,,
,form_time,,,Form Completed,Form Completed,Form Completed,submissiondatetime,submissiondatetime,,
,upload_time,,,Upload Completed,Upload Completed,Upload Completed,,,,
,sub_id,,,Submission ID,Submission ID,Submission ID,submissionid,submissionid,,
,sub_id_device,,,Submission ID generated by device,Submission ID generated by device,Submission ID generated by device,,,,
1,start_time,,,Survey Start Time,Survey Start Time,Survey Start Time,Survey_Start_Time,Survey_Start_Time,,plot_datetime
1,study_area,,,Study Area,Study Area,Study Area,Study_Area,Study_Area,,study_area
1,other_study_area,,,Other Study Area,Other Study Area,Other Study Area,Other_Study_Area,Other_Study_Area,,other_study_area
1,users,,,User(s),User(s),User(s),User_s_,User_s_,,users
1,plot_id,,,Plot ID,Plot ID,Plot ID,Plot_ID,Plot_ID,,plot_id
1,plot_id_tsi,Plot ID (Russell Creek),,,,,,,,
1,plot_id_cru,Plot ID (Cruickshank) ,,,,,,,,
1,plot_id_eng,Plot ID (Englishman),,,,,,,,
1,plot_id_mv,Plot ID (Metro Vancouver),,,,,,,,
1,is_there_snow,Is There Snow?,,,,,,,,
,tube_name,,,Tube Name,Tube Name,Tube Name,Tube_Name,Tube_Name,,tube_name
1,pre_survey_notes,,,Pre Survey Notes,Pre Survey Notes,Pre Survey Notes,Pre_Survey_Notes,Pre_Survey_Notes,,pre_survey_notes
,gnss_unit,,,GNSS Used?,GNSS Used?,GNSS Used?,GNSS_Used_,GNSS_Used_,,gnss_unit
,gnss_setup,,,GNSS Setup,GNSS Setup,GNSS Setup,GNSS_Setup,GNSS_Setup,,gnss_setup
,other_gnss_setup,,,Other GNSS Setup,Other GNSS Setup,Other GNSS Setup,Other_GNSS_Setup,Other_GNSS_Setup,,other_gnss_setup
,gnss_status,,,GNSS Status,GNSS Status,GNSS Status,GNSS_Status,GNSS_Status,,gnss_status
,rover_height,,,GNSS Height Rover to Snow (cm),GNSS Height Rover to Snow (cm),GNSS Height Rover to Snow (cm),GNSS_Height_Rover_to_Snow__cm_,GNSS_Height_Rover_to_Snow__cm_,,rover_height
,tare_weight,,,Tare Weight (g),Tare Weight (g),Tare Weight (g),Tare_Weight__g_,Tare_Weight__g_,,tare_weight_g
,tare_swe,,,Tare SWE (cm),Tare Weight (cm),,Tare_Weight__cm_,,,
,sampling_design,,,Sampling Design,Sampling Design,Sampling Design,Sampling_Design,Sampling_Design,,
1,plot_type,,,Type of Plot,Type of Plot,Type of Plot,Type_of_Plot,Type_of_Plot,,plot_type
1,cardinal_dir,,,Point Observation : Cardinal Direction,Point Observation : Cardinal Direction,Point Observation : Cardinal Direction,Point_Observation.Cardinal_Direction,Point_Observation.Cardinal_Direction,,cardinal
1,other_direction,Point Observation : Other Direction (°),,Other_Direction,,,,,,
