cardinal,distance_m,x,y,easting,northing
Centre,0,0,0,,
E,2.5,2.5,0,,
E,5,5,0,,
E,7.5,7.5,0,,
E,10,10,0,,
N,2.5,0,2.5,,
N,5,0,5,,
N,7.5,0,7.5,,
N,10,0,10,,
NE,2.5,1.77,1.77,,
NE,5,3.54,3.54,,
NE,7.5,5.3,5.3,,
NE,10,7.07,7.07,,
NW,2.5,-1.7677,1.77,,
NW,5,-3.5354,3.54,,
NW,7.5,-5.3031,5.3,,
NW,10,-7.0708,7.07,,
S,2.5,0,-2.5,,
S,5,0,-5,,
S,7.5,0,-7.5,,
S,10,0,-10,,
SE,2.5,1.77,-1.77,,
SE,5,3.54,-3.54,,
SE,7.5,5.3,-5.3,,
SE,10,7.07,-7.07,,
SW,2.5,-1.77,-1.77,,
SW,5,-3.54,-3.54,,
SW,7.5,-5.3,-5.3,,
SW,10,-7.07,-7.07,,
W,2.5,-2.5,0,,
W,5,-5,0,,
W,7.5,-7.5,0,,
W,10,-10,0,,
