aco_flight_number,plot_datetime,study_area,users,plot_id,tube_name,pre_survey_notes,tare_weight_g,plot_type,cardinal,distance_m,sample_type,depth_timestamp,depth_final_cm,plug_cm,mass_tube_g,snow_depth,multi_core,multi_part_core_num,multi_core_num_copy,depth_cm_new,depth_cm_timestamp_new,plug_cm_copy,mass_tube_g_new,core_length_final,plot_features,core_features,depth_of_saturation,mass_final_g,depth_max,retrieval,swe_cm,density,sample_rating,notes,snow_pit_distance_from_centre,snow_pit_depth_above_ground,snow_pit_temperature,snow_pit_density,survey_end,Orthometric_Height,Ellipsoid_Height_m,Datum,Geoid_Model,Equipment_Used,Date_Surveyed,Notes,PPK_plan,easting,northing
1,5/10/2024 10:11,Cruickshank,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,3430,Cardinal 10 m,N,2.5,Depth,5/10/2024 10:13,162,,,162,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 10:37,,1424.7371,WGS84,,Stonex,3/17/2023,,SBAS,328739.3666,5504648.766
1,5/10/2024 10:11,Cruickshank,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,3430,Cardinal 10 m,N,10,Density,5/10/2024 10:12,,0,4020,122,,,,,,,,114,U,,,590,122,93,52.575,0.431,Good,,,,,,5/10/2024 10:37,,1424.7371,WGS84,,Stonex,3/17/2023,,SBAS,328739.3666,5504656.266
1,5/10/2024 10:11,Cruickshank,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,3430,Cardinal 10 m,N,5,Depth,5/10/2024 10:13,119,,,119,,,,,,,,,E,,,,,,,,Good,,,,,,5/10/2024 10:37,,1424.7371,WGS84,,Stonex,3/17/2023,,SBAS,328739.3666,5504651.266
1,5/10/2024 10:11,Cruickshank,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,3430,Cardinal 10 m,N,7.5,Depth,5/10/2024 10:13,112,,,112,,,,,,,,,U,,,,,,,,Good,,,,,,5/10/2024 10:37,,1424.7371,WGS84,,Stonex,3/17/2023,,SBAS,328739.3666,5504653.766
1,5/10/2024 10:11,Cruickshank,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,3430,Cardinal 10 m,N,10,Depth,5/10/2024 10:14,144,,,144,,,,,,,,,U,,,,,,,,Good,,,,,,5/10/2024 10:37,,1424.7371,WGS84,,Stonex,3/17/2023,,SBAS,328739.3666,5504656.266
1,5/10/2024 10:11,Cruickshank,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,3430,Cardinal 10 m,E,,Density,5/10/2024 10:17,,0,3670,45,,,,,,,,40,O,,,240,45,89,21.386,0.475,Good,,,,,,5/10/2024 10:37,,1424.7371,WGS84,,Stonex,3/17/2023,,SBAS,,
1,5/10/2024 10:11,Cruickshank,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,3430,Cardinal 10 m,S,10,Depth,5/10/2024 10:18,100,,,100,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 10:37,,1424.7371,WGS84,,Stonex,3/17/2023,,SBAS,328739.3666,5504636.266
1,5/10/2024 10:11,Cruickshank,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,3430,Cardinal 10 m,S,7.5,Depth,5/10/2024 10:20,61,,,61,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 10:37,,1424.7371,WGS84,,Stonex,3/17/2023,,SBAS,328739.3666,5504638.766
1,5/10/2024 10:11,Cruickshank,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,3430,Cardinal 10 m,S,5,Depth,5/10/2024 10:20,78,,,78,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 10:37,,1424.7371,WGS84,,Stonex,3/17/2023,,SBAS,328739.3666,5504641.266
1,5/10/2024 10:11,Cruickshank,Ak bf tm,S2F,CHRL 1,Big disturbance on south due to soft snow. 20-30cm footprint.,3430,Cardinal 10 m,S,2.5,Depth,5/10/2024 10:20,69,,,69,,,,,,,,,E,,,,,,,,Good,,,,,,5/10/2024 10:37,,1424.7371,WGS84,,Stonex,3/17/2023,,SBAS,328739.3666,5504643.766
