aco_flight_number,plot_datetime,study_area,other_study_area,users,plot_id,tube_name,pre_survey_notes,gnss_unit,gnss_setup,other_gnss_setup,gnss_status,rover_height,tare_weight_g,plot_type,cardinal,distance_m,custom_distance,sample_type,depth_cm,depth_timestamp,depth_final_cm,core_length_cm,plug_cm,mass_tube_g,snow_depth,multi_core,multi_part_core_num,multi_core_num_copy,depth_cm_new,depth_cm_timestamp_new,core_section_length_cm,plug_cm_copy,mass_tube_g_new,core_length_final,plot_features,core_features,depth_of_saturation,mass_final_g,depth_max,retrieval,swe_cm,density,sample_rating,notes,snow_pit_distance_from_centre,snow_pit_depth_above_ground,snow_pit_temperature,snow_pit_density,survey_end,2023_Final_ID,Alternate_ID,Northing_m,Easting_m,Orthoetric_Height,Latitude_dd,Longitude_dd,Ellipsoid_Height_m,"Processing_Method (RTK PPK, PPP)",Datum,Geoid_Model,Equipment_Used,Date_Surveyed,Notes
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,N,10.0,,Depth,175.0,5/2/2024 11:10,385.0,,,,385,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,N,7.5,,Depth,180.0,5/2/2024 11:11,390.0,,,,390,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,N,5.0,,Depth,196.0,5/2/2024 11:12,406.0,,,,406,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,N,2.5,,Depth,219.0,5/2/2024 11:12,429.0,,,,429,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,Centre,,,Depth,248.0,5/2/2024 11:13,458.0,,,,458,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,S,2.5,,Depth,213.0,5/2/2024 11:14,423.0,,,,423,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,S,5.0,,Depth,143.0,5/2/2024 11:14,353.0,,,,353,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,S,7.5,,Depth,126.0,5/2/2024 11:15,336.0,,,,336,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,S,10.0,,Depth,168.0,5/2/2024 11:15,378.0,,,,378,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,W,2.5,,Depth,222.0,5/2/2024 11:17,432.0,,,,432,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
2,5/2/2024 11:10,Metro Vancouver,,Peter,N3O,MOE 1,,No will survey later,,,,,153.0,Cardinal 10 m,W,5.0,,Depth,255.0,5/2/2024 11:17,465.0,,,,465,,,,,,,,,,O,,,,,,,,Good,,,,,,5/2/2024 11:50,,,5486378.902,494859.657,,,,1397.072,,,,,5/2/2024,
